CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
192,255,0,0,0,0,0,0,0,0,0,0
255,255,0,3,0,0,0,0,75,0,0,0
255,255,255,255,255,3,255,0,255,31,255,0
255,11,255,255,255,255,255,255,255,255,255,255
0,0,255,255,255,255,255,255,8,255,255,255
0,0,0,1,0,255,0,255,0,5,2,255
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,7,0,0,0
255,255,255,255,255,42,255,0,255,91,255,0
255,34,255,255,255,255,255,255,255,255,255,181
0,0,255,255,255,255,55,255,1,255,255,255
