CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
89,255,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,47,0,0,0
255,255,255,255,255,4,255,0,255,26,255,0
255,12,255,255,255,255,255,255,255,255,255,255
0,0,255,255,255,255,255,255,21,255,255,255
0,0,0,0,0,255,0,255,0,25,3,255
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
158,255,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,3,0,0,0
255,255,255,255,255,22,255,0,255,61,255,0
255,31,255,255,255,255,255,198,255,255,255,74
0,0,255,255,255,255,102,255,2,255,255,255
