CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
143,255,0,0,0,0,0,0,0,0,0,0
255,255,0,1,0,0,0,0,43,0,0,0
255,255,255,255,255,2,255,0,255,11,255,0
255,31,255,255,255,255,255,255,255,255,255,255
0,0,255,255,255,255,255,255,9,255,255,255
0,0,0,1,0,255,0,255,0,21,4,255
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
142,255,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,8,0,0,0
255,255,255,255,255,38,255,0,255,78,255,0
255,49,255,255,255,255,255,255,255,255,255,119
0,0,255,255,255,255,132,255,3,255,255,255
