CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
125,255,0,0,0,0,0,0,0,0,0,0
255,255,1,3,0,0,0,0,53,0,0,0
255,255,255,255,255,7,255,0,255,20,255,0
255,36,255,255,255,255,255,255,255,255,255,255
0,0,255,255,255,255,255,255,10,255,255,255
0,0,0,0,0,255,0,255,0,26,9,255
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
98,255,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,1,0,0,0
255,255,255,255,255,24,255,0,255,54,255,0
255,76,255,255,255,255,255,195,255,255,255,63
0,0,255,255,255,255,102,255,1,255,255,255
