CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
132,255,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,45,0,0,0
255,255,255,255,255,0,255,0,255,12,255,0
255,28,255,255,255,255,255,255,255,255,255,255
0,0,255,255,255,255,255,255,19,255,255,255
0,0,0,1,0,255,0,255,0,16,5,255
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
83,255,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,5,0,0,0
255,255,255,255,255,33,255,0,255,56,255,0
255,76,255,255,255,255,255,255,255,255,255,89
0,0,255,255,255,255,113,255,3,255,255,255
