CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
108,255,0,0,0,0,0,0,0,0,0,0
255,255,0,1,0,0,0,0,42,0,0,0
255,255,255,255,255,4,255,0,255,20,255,0
255,23,255,255,255,255,255,255,255,255,255,255
0,0,255,255,255,255,255,255,13,255,255,255
0,0,0,0,0,255,0,255,0,22,5,255
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
113,255,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,6,0,0,0
255,255,255,255,255,22,255,0,255,50,255,0
255,57,255,255,255,255,255,220,255,255,255,85
0,0,255,255,255,255,172,255,2,255,255,255
