CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
83,255,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,25,0,0,0
255,255,255,255,255,1,255,0,255,11,255,0
255,29,255,255,255,255,255,255,255,255,255,255
0,0,255,255,255,255,255,255,26,255,255,255
0,0,0,0,0,255,0,255,0,22,3,255
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
118,255,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,4,0,0,0
255,255,255,255,255,26,255,0,255,47,255,0
255,62,255,255,255,255,255,228,255,255,255,65
0,0,255,255,255,255,154,255,1,255,255,255
