CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,0,0,0,0,0,0,0,0,0,0
255,255,29,181,0,0,0,0,255,0,0,0
255,255,255,255,255,255,255,5,255,255,255,2
1,0,255,255,255,255,255,255,255,255,255,255
0,0,164,255,255,255,255,255,0,255,255,255
0,0,0,0,0,255,0,255,0,0,0,40
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,0,0,0,0
255,255,36,78,2,0,0,0,255,0,166,0
255,255,255,255,255,255,255,66,255,255,255,255
8,2,255,255,255,255,255,255,255,255,255,255
0,0,224,255,255,255,255,255,0,255,38,255
0,0,0,0,0,255,0,255,0,0,0,255
0,0,0,0,0,0,0,0,0,0,0,0
