CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,0,0,0,0,0,0,0,0,0,0
255,255,29,212,0,0,0,0,255,0,2,0
255,255,255,255,255,255,255,0,255,255,255,1
0,0,255,255,255,255,255,255,255,255,255,255
0,0,255,255,255,255,255,255,0,255,255,255
0,0,0,0,0,255,0,255,0,0,0,59
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,0,0,0,0
255,255,46,79,4,0,0,0,255,0,161,0
255,255,255,255,255,255,255,44,255,255,255,217
14,0,255,255,255,255,255,255,255,255,255,255
0,0,166,255,255,255,255,255,0,255,23,255
0,0,0,0,0,255,0,255,0,0,0,255
0,0,0,0,0,0,0,0,0,0,0,0
