CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,0,0,0,0,0,0,0,0,0,0
255,255,30,202,0,0,0,0,255,0,3,0
255,255,255,255,255,255,255,1,255,255,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,224,255,255,255,255,255,0,255,255,255
0,0,0,0,0,255,0,255,0,0,0,66
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,0,0,0,0
255,255,27,60,2,0,1,0,255,0,138,0
255,255,255,255,255,255,255,53,255,255,255,227
13,0,255,255,255,255,255,255,255,255,255,255
0,0,175,255,255,255,255,255,0,255,25,255
0,0,0,0,0,255,0,255,0,0,0,255
0,0,0,0,0,0,0,0,0,0,0,0
