CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,0,0,0,0,0,0,0,0,0,0
255,255,37,169,1,0,0,0,255,0,1,0
255,255,255,255,255,255,255,0,255,255,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,250,255,255,255,255,255,0,255,255,255
0,0,0,0,0,255,0,255,0,0,0,70
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,0,0,0,0
255,255,34,67,3,0,0,0,255,0,132,0
255,255,255,255,255,255,255,42,255,255,255,210
12,2,255,255,255,255,255,255,255,255,255,255
0,0,204,255,255,255,255,255,0,255,22,255
0,0,0,1,0,255,0,255,0,0,0,255
0,0,0,0,0,0,0,0,0,0,0,0
