CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12
2717,0,0,0,0,0,0,0,0,24527,0,0,0
3902,0,0,0,0,0,0,0,0,33089,0,0,0
6374,0,0,0,0,0,0,0,0,46439,0,0,0
9571,0,0,0,0,0,0,0,0,73913,0,0,0
13015,0,0,1,0,0,0,0,0,102934,0,0,0
17465,0,0,0,0,0,0,0,0,138559,0,0,0
25330,0,0,0,0,0,0,0,0,187074,0,0,0
33272,0,0,6,0,0,0,0,0,225589,0,0,0
44041,0,0,5,0,0,0,0,0,262646,0,0,0
56562,0,0,13,0,0,0,0,0,290779,0,0,0
77583,0,0,24,0,0,0,0,0,341576,0,0,0
100460,0,0,71,0,0,0,0,0,397829,0,0,0
116293,0,0,117,0,0,0,0,0,436591,0,0,0
147834,0,0,266,0,0,0,0,0,513201,0,0,0
178132,0,0,449,0,0,0,0,0,576650,0,0,0
213231,0,0,873,0,0,0,0,0,630862,0,0,0
270891,0,0,1419,0,0,0,0,0,677471,0,0,0
309300,0,0,1995,0,0,0,0,0,706405,0,0,0
360979,0,0,3301,0,0,0,0,0,742835,0,0,0
425541,0,0,6210,0,0,0,0,0,794225,0,0,0
476579,0,0,10844,0,0,0,0,0,836298,0,0,0
523814,0,0,18764,0,0,0,0,0,881201,0,0,0
592857,0,0,30570,0,0,0,0,0,920574,0,0,0
666182,2,0,45372,0,0,0,0,0,947793,0,0,0
794055,1,0,60885,0,0,0,0,0,948207,0,0,0
869349,3,0,80798,0,0,0,0,0,954025,0,0,0
956093,5,0,112475,0,0,0,0,0,969084,0,0,0
1029639,17,0,157669,0,0,0,0,0,994462,0,0,0
1079873,42,0,207117,0,0,0,0,0,1016448,0,0,1
1131913,52,0,269925,0,0,0,0,0,1052238,0,0,0
1187652,197,0,339312,0,0,0,0,0,1087976,0,0,2
1217550,325,0,386768,0,0,0,0,0,1108352,0,0,3
1262474,609,0,422453,0,0,0,0,0,1117910,0,0,3
1286792,1114,0,469138,0,0,0,0,0,1136988,0,0,11
1312529,2300,0,526447,0,0,0,0,0,1167589,0,0,13
1324597,3698,0,582610,0,0,0,0,0,1193983,0,0,28
1331520,5471,0,644441,0,0,0,0,0,1215010,0,0,74
1336818,9393,0,723464,0,0,0,0,0,1247185,0,0,152
1337592,15536,0,792116,0,0,0,0,0,1275583,0,0,281
1336518,22945,0,858731,0,3,0,0,0,1292541,0,0,538
1331793,31303,0,889982,0,11,0,0,0,1323673,0,0,1517
1322443,44412,0,940957,0,7,0,0,0,1333898,0,0,2619
1309957,62589,0,999048,0,29,0,0,0,1336867,0,0,4639
1290380,90280,0,1067934,0,75,0,0,0,1331169,0,0,7995
1273629,112641,0,1131764,0,153,0,0,0,1321095,0,0,10540
1250455,151137,0,1195570,0,304,0,0,0,1306911,0,0,15758
1224240,201289,0,1245978,0,608,0,0,0,1285353,0,0,23455
1195604,252980,4,1280727,0,1238,0,0,0,1251124,2,1,34074
1174928,317108,4,1291378,0,1879,0,0,0,1302484,2,1,51513
1145970,371578,7,1301195,0,2769,0,0,0,1284279,4,2,68267
1104564,447256,12,1319684,0,4832,0,0,0,1242717,9,1,95058
1068010,513480,20,1337050,0,8010,0,0,0,1183725,6,4,129173
1028569,588523,85,1359096,0,13745,0,0,0,1123194,30,8,163431
988691,666186,120,1374875,0,23004,0,0,0,1067300,31,6,203429
926689,773758,322,1382784,0,40261,0,1,0,1011165,71,13,263372
878970,839937,560,1383828,0,56480,0,0,0,966762,123,35,313892
841077,941002,428,1347019,0,70963,0,1,0,995965,182,46,374705
775968,1019508,943,1322734,0,98897,0,4,0,986417,416,169,435601
720340,1070270,1286,1304263,0,126919,0,7,0,972257,516,271,492550
642407,1140500,3115,1276900,0,180012,0,10,0,927989,1000,444,586497
573752,1193409,5815,1251056,0,246510,0,47,0,893420,1857,840,659726
510372,1236093,10065,1215160,0,328740,0,71,0,874775,3178,1396,740424
456135,1271210,17443,1173867,0,408243,0,168,0,864248,5642,2728,806451
389685,1304244,29389,1113479,0,493206,0,309,0,854347,9452,4509,885368
346031,1338445,44683,1004039,1,499122,0,646,0,902303,22053,10503,1021807
309428,1355575,58278,955499,1,557317,0,1012,0,908056,29586,14650,1074817
267542,1372402,84155,900930,5,641928,0,2104,0,904251,42792,23689,1141344
225178,1383013,127387,839213,9,758067,0,4002,0,870551,66182,38367,1210193
203705,1385209,167784,801415,13,846469,0,5950,0,839414,87664,50233,1240885
178831,1386877,221570,750280,32,933090,0,9423,0,808750,118675,72091,1268266
145973,1387908,297501,679581,98,1032850,0,16666,0,778181,167449,108245,1302508
126566,1382311,348349,631512,178,1089720,0,23756,0,747851,210749,137551,1318842
94071,1377870,372931,550479,285,1139648,0,27463,0,755945,240941,204051,1348933
75130,1375984,432575,483234,462,1189522,0,40783,0,718445,279920,249451,1371036
57925,1370680,498622,425189,886,1240468,0,59846,0,664957,335947,307932,1391982
43556,1354610,596110,374587,1752,1285433,0,82906,0,601333,388212,362569,1411724
33913,1339394,679130,330286,3171,1323757,0,113019,0,538603,450838,418860,1423110
23729,1322871,771225,285263,6250,1358118,0,153140,0,465704,526345,499887,1439005
16964,1306850,853395,247539,11029,1382069,1,203949,0,405504,599088,576364,1451071
11851,1285032,922674,213918,17092,1397051,0,256512,0,354338,659431,649230,1459142
6991,1270282,952293,156527,20891,1395501,1,321507,0,336669,711688,735403,1476678
4456,1260047,1003200,128035,31105,1400897,4,388574,0,302872,752677,798174,1487019
2491,1249351,1047494,107330,44369,1400785,4,462701,0,260995,803793,868406,1490843
1218,1226795,1113548,79621,77191,1389552,12,563925,0,205049,865245,957146,1492788
733,1199309,1141862,61740,123159,1379388,21,652402,1,170630,905752,1016979,1482224
503,1181506,1151151,51994,154325,1370157,35,712322,0,149666,932858,1064753,1473752
191,1140224,1152123,35957,220256,1340779,129,818162,5,126644,974596,1129633,1452499
93,1096686,1133202,25041,285446,1321728,216,903190,12,106222,990368,1169204,1418894
49,1075617,1116134,15908,308260,1306274,331,925929,21,88079,1022054,1214412,1389995
10,1028908,1081630,8853,373604,1283510,640,1003556,44,74884,1042291,1239174,1342629
12,981535,1033531,5510,452893,1259810,961,1073262,58,62364,1070003,1256195,1288872
5,926913,983834,3047,557210,1239795,2077,1134237,99,48387,1086998,1268864,1217742
2,885387,933952,2046,647693,1235076,3843,1191972,187,39185,1105808,1283520,1162422
3,826083,875379,1188,724712,1215410,7813,1224000,394,28847,1111495,1287097,1075784
0,770502,823785,702,808420,1201829,13515,1259067,615,20994,1133460,1298966,984307
0,717907,777100,352,867654,1192072,22065,1284216,1298,14813,1140308,1303151,902865
0,683845,727417,133,914990,1138864,28864,1310838,2192,11249,1089308,1317286,849985
0,634430,692742,45,964234,1128472,45334,1336969,3862,8415,1106758,1315513,782370
0,576914,659598,18,1019065,1111856,68053,1356026,6706,5435,1146547,1301387,704089
0,518398,637245,9,1065187,1080678,103207,1364929,11353,3095,1169839,1279454,630953
0,458351,598183,3,1108214,1044387,151959,1376352,20326,1612,1201214,1245045,564094
0,388042,557003,2,1141567,995979,215880,1377624,32462,812,1237274,1203451,507816
0,329076,523493,0,1162371,947984,278859,1375959,49890,430,1271198,1159515,466279
0,281519,486436,1,1170780,906401,347342,1374359,72076,238,1282933,1096735,434689
0,230338,486449,0,1207580,872625,358159,1338550,90598,108,1265905,1052233,416218
0,202298,485252,0,1207662,840054,413323,1327372,117883,62,1258246,1009449,398523
0,160458,477774,0,1203025,776456,499312,1308731,169561,22,1251609,925327,374946
0,128115,469770,0,1177436,707964,603713,1289452,229046,16,1238318,851946,352361
0,110889,443676,0,1159614,656983,676759,1285498,284160,4,1223042,793970,336554
0,91005,418997,0,1121865,592320,777037,1259421,353746,2,1188081,731810,318379
0,72039,401954,0,1073256,527184,858043,1235485,428689,2,1143473,667460,298072
0,53905,377071,0,1009554,468850,942187,1207959,512412,0,1064296,596392,274843
0,35640,399917,0,988102,443236,1002266,1197364,619931,0,926838,576934,261704
0,27394,377047,0,944478,401485,1056530,1174231,691818,0,855652,527527,241439
0,19319,335617,0,896212,357724,1117597,1145706,782025,0,787484,466905,217160
0,12764,296876,0,842214,314320,1169560,1100500,863322,0,718691,416766,192817
0,9400,257002,0,814390,284662,1204311,1069557,930647,0,665072,381409,173121
0,5252,212322,0,776491,246154,1247295,1006615,1010163,0,583726,343225,148900
0,3198,178930,0,743740,213249,1273532,952124,1081346,0,520508,316335,126248
0,1947,151740,0,716229,192754,1286290,903512,1125704,0,468582,300148,108111
0,985,148212,0,750690,173451,1307966,864950,1200324,0,380535,279991,91363
0,643,125740,0,747325,148653,1310924,812596,1241932,0,350670,260552,73562
0,375,102848,0,750424,124162,1309894,751978,1281330,0,331336,238922,58453
0,159,81825,0,734342,97520,1302441,678568,1321906,0,313166,218032,42043
0,61,62350,0,722257,76050,1287373,618697,1357864,0,301820,196965,29408
0,22,46058,0,697170,57590,1270383,556300,1384197,0,293390,176485,20532
0,10,34104,0,669001,43106,1251946,505626,1411144,0,285789,156629,14007
0,2,21875,0,633600,29111,1222104,449982,1441548,0,268906,131917,8042
