CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,8,255,255,255,255,255,255,255,255,255,255
7,0,53,255,232,255,255,255,1,255,255,255
0,0,0,0,0,32,1,29,0,1,0,3
0,0,0,0,0,0,0,1,0,0,0,0
0,255,0,0,0,0,0,0,0,0,0,0
56,255,10,0,0,0,0,0,8,0,0,0
255,255,255,255,255,21,255,0,255,255,255,255
255,255,255,255,255,255,255,255,255,255,255,255
255,0,255,255,255,255,255,255,255,255,255,255
8,0,17,255,5,255,255,255,3,255,58,255
0,0,0,0,0,5,1,87,0,2,0,2
0,0,0,0,0,0,0,0,0,0,0,0
1,255,0,0,0,0,0,0,0,0,0,0
179,255,78,28,255,0,0,0,43,0,1,0
255,255,255,255,255,255,255,1,255,255,255,255
