CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,17,255,24,0,19,0,255,0,0,0
255,255,255,255,255,255,255,9,255,255,255,1
0,0,255,255,255,255,255,255,255,255,255,255
0,0,13,156,82,255,12,255,0,255,255,255
0,0,0,0,0,0,0,12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
204,255,0,0,0,0,0,0,0,0,0,0
255,255,98,159,40,0,127,0,255,0,0,0
255,255,255,255,255,85,255,0,255,58,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,5,255,1,255,0,255,0,255,255,255
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,0,0,0,0,0,0,0,0,0
