CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12
10572,13208,14,15304,0,1573,0,0,0,15337,0,0,199
3296,16590,849,15105,0,9941,0,2,0,17427,0,1,2960
1149,19622,7723,6600,15,15488,0,323,0,12871,28,80,13790
460,18772,13322,1360,1418,18931,0,4372,0,4159,443,1692,18247
10,11518,16649,307,9530,19773,13,12765,0,585,4041,11015,18992
0,4611,15385,22,13883,17886,817,17499,25,8,12834,17061,12508
0,945,11996,0,17053,7516,7841,18336,1615,0,16873,16888,5834
0,26,4806,0,17243,1920,14931,15894,10519,0,15630,8399,1628
0,0,1341,0,14688,226,18226,7272,15885,0,7919,4236,184
0,0,70,0,10358,3,18435,1843,19071,0,3677,714,0
0,0,1,0,2576,0,9922,205,17450,0,702,5,0
0,0,0,0,137,0,2459,3,8744,0,26,0,0
0,0,0,0,0,0,240,0,3389,0,0,0,0
0,0,0,0,0,0,2,0,198,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,7,0,0,0
391,0,0,0,0,0,0,0,0,561,0,0,0
2880,0,0,5,0,0,0,0,0,5228,0,0,0
11757,0,0,672,0,0,0,0,0,12009,0,0,0
17097,0,0,5043,0,0,0,0,0,14932,0,0,0
16577,346,0,13618,0,0,0,0,0,17782,0,0,1
13792,5118,0,17990,0,29,0,0,0,19053,0,0,60
7451,14338,50,18758,0,1140,0,0,0,16319,0,0,2413
2329,17335,1132,14708,0,8897,0,13,0,14663,0,2,10934
446,15245,7967,6810,0,18063,0,1057,0,11597,132,391,16808
19,14307,14135,2004,374,17744,0,9034,0,4315,3137,6324,19289
0,11346,13645,147,4643,14906,6,16056,0,983,10321,14271,19250
0,3913,10047,0,13034,14713,681,18024,38,50,13588,17243,13121
0,602,6259,0,17449,8593,8980,16117,2162,2,16649,15662,5750
0,16,3272,0,14251,2482,16218,14864,11305,0,17361,9191,2702
0,0,514,0,7799,339,16436,7662,17134,0,10593,3956,459
0,0,10,0,8980,18,12501,2528,19984,0,4432,1308,4
0,0,0,0,5129,0,10489,284,19067,0,2440,67,0
0,0,0,0,230,0,3344,3,12291,0,466,1,0
0,0,0,0,3,0,206,0,4827,0,12,0,0
0,0,0,0,0,0,0,0,1261,0,0,0,0
0,0,0,0,0,0,0,0,27,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
247,0,0,0,0,0,0,0,0,5,0,0,0
1778,0,0,0,0,0,0,0,0,162,0,0,0
6464,0,0,12,0,0,0,0,0,832,0,0,0
12529,0,0,254,0,0,0,0,0,4965,0,0,0
14544,15,0,1707,0,0,0,0,0,13505,0,0,0
17575,660,0,8932,0,0,0,0,0,17560,0,0,0
16147,5400,0,16248,0,37,0,0,0,19021,0,0,1
10089,14611,11,17377,0,736,0,1,0,19767,0,0,113
3371,17626,623,15495,0,7377,0,132,0,17966,0,0,2621
1211,19788,7572,11747,1,15376,0,1610,0,11578,5,14,11005
622,15797,14296,4443,84,18362,0,10083,0,5033,204,469,18402
47,8273,16456,1379,1816,19635,1,16451,0,1816,2285,5444,18978
0,3399,13122,249,9259,15690,207,19625,1,209,9648,15096,10873
0,1401,6282,3,14096,8757,3814,18939,164,0,17212,17396,5216
0,146,4187,0,15396,3565,13247,12967,3937,0,19589,10364,3659
