CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,0,0,0,0,0,0,0,0,0,0
255,255,25,167,0,0,0,0,255,0,0,0
255,255,255,255,255,255,255,1,255,255,255,1
2,0,255,255,255,255,255,255,255,255,255,255
0,0,253,255,255,255,255,255,0,255,255,255
0,0,0,0,0,255,0,255,0,0,0,148
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,0,0,0,0
255,255,21,51,2,0,0,0,255,0,132,0
255,255,255,255,255,255,255,57,255,255,255,170
21,1,255,255,255,255,255,255,255,255,255,255
0,0,200,255,255,255,255,255,0,255,63,255
0,0,0,0,0,255,0,255,0,0,0,255
0,0,0,0,0,0,0,0,0,0,0,0
