CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
71,255,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,15,0,0,0
255,255,255,255,255,1,255,0,255,5,255,0
255,97,255,255,255,255,255,255,255,255,255,255
0,0,255,255,255,255,255,255,42,255,255,255
0,0,0,1,0,255,0,255,0,135,27,255
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
62,255,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,0,0,0,0
255,255,255,255,255,16,255,0,255,30,255,0
255,177,255,255,255,255,255,140,255,255,255,40
0,0,255,255,255,255,255,255,3,255,255,255
