CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,0,0,0,0,0,0,0,0,0,0
255,255,31,141,0,0,0,0,255,0,1,0
255,255,255,255,255,255,255,1,255,255,255,0
3,0,255,255,255,255,255,255,255,255,255,255
0,0,255,255,255,255,255,255,0,255,255,255
0,0,0,0,0,255,0,255,0,0,0,190
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,0,0,0,0
255,255,38,70,6,0,0,0,255,0,115,0
255,255,255,255,255,255,255,68,255,255,255,162
14,1,255,255,255,255,255,255,255,255,255,255
0,0,255,255,255,255,255,255,0,255,92,255
0,0,0,0,0,255,0,255,0,0,0,255
0,0,0,0,0,0,0,0,0,0,0,0
