CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,0,0,0,0,0,0,0,0,0,0
255,255,22,159,0,0,0,0,255,0,0,0
255,255,255,255,255,255,255,0,255,255,255,0
3,0,255,255,255,255,255,255,255,255,255,255
0,0,255,255,255,255,255,255,0,255,255,255
0,0,0,0,0,255,0,255,0,0,0,148
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,0,0,0,0
255,255,28,73,3,0,0,0,255,0,127,0
255,255,255,255,255,255,255,47,255,255,255,146
17,0,255,255,255,255,255,255,255,255,255,255
0,0,255,255,255,255,255,255,0,255,79,255
0,0,0,0,0,255,0,255,0,0,0,255
0,0,0,0,0,0,0,0,0,0,0,0
