CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
57,255,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,12,0,0,0
255,255,255,255,255,1,255,0,255,3,255,0
255,86,255,255,255,255,255,255,255,255,255,255
0,0,255,255,255,255,255,255,67,255,255,255
0,0,0,0,0,255,0,255,0,169,33,255
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
61,255,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,1,0,0,0
255,255,255,255,255,11,255,0,255,12,255,0
255,178,255,255,255,255,255,138,255,255,255,23
0,0,255,255,255,255,255,255,3,255,255,255
