CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,11,255,20,0,16,0,255,0,0,0
255,255,255,255,255,212,255,1,255,255,255,0
3,0,255,255,255,255,255,255,255,255,255,255
0,0,17,152,77,255,9,255,0,255,255,255
0,0,0,0,0,0,0,12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
140,255,0,0,0,0,0,0,0,0,0,0
255,255,52,132,26,0,92,0,255,0,0,0
255,255,255,255,255,67,255,0,255,77,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,2,255,0,255,0,255,0,255,255,255
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
