CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,18,255,34,0,39,0,255,0,4,0
255,255,255,255,255,255,255,7,255,255,255,1
0,0,255,255,255,255,255,255,255,255,255,255
0,0,9,85,41,255,9,255,0,255,255,255
0,0,0,0,0,0,0,9,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,0,0,0,0
255,255,103,193,35,0,147,0,255,0,0,0
255,255,255,255,255,138,255,0,255,114,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,3,255,0,255,0,255,0,255,255,255
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0
