CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,19,255,21,0,33,0,255,0,1,0
255,255,255,255,255,255,255,9,255,255,255,7
2,0,255,255,255,255,255,255,255,255,255,255
0,0,13,107,66,255,5,255,0,255,255,255
0,0,0,0,0,0,0,8,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,0,0,0,0
255,255,83,160,32,0,139,0,255,0,0,0
255,255,255,255,255,102,255,0,255,115,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,2,255,0,255,0,255,0,255,255,255
0,0,0,0,0,1,0,2,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
