CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,33,255,42,0,41,0,255,0,7,0
255,255,255,255,255,255,255,6,255,255,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,17,106,59,255,6,255,0,255,255,255
0,0,0,0,0,0,0,11,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
254,255,0,0,0,0,0,0,0,0,0,0
255,255,97,202,39,0,140,0,255,0,0,0
255,255,255,255,255,93,255,0,255,86,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,0,255,0,255,0,255,0,255,255,255
0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
