CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
65,255,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,15,0,0,0
255,255,255,255,255,3,255,0,255,8,255,0
255,114,255,255,255,255,255,255,255,255,255,255
0,0,255,255,255,255,255,255,46,255,255,255
0,0,0,1,0,255,0,255,0,128,24,255
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
87,255,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,2,0,0,0
255,255,255,255,255,23,255,0,255,31,255,0
255,216,255,255,255,255,255,101,255,255,255,19
0,0,255,255,255,255,255,255,3,255,255,255
