CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
85,255,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,14,0,0,0
255,255,255,255,255,2,255,0,255,8,255,0
255,77,255,255,255,255,255,255,255,255,255,255
0,0,255,255,255,255,255,255,43,255,255,255
0,0,0,0,0,255,0,255,0,88,15,255
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
100,255,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,6,0,0,0
255,255,255,255,255,13,255,0,255,34,255,0
255,169,255,255,255,255,255,162,255,255,255,59
0,0,255,255,255,255,255,255,3,255,255,255
