CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,23,255,31,0,33,0,255,0,4,0
255,255,255,255,255,255,255,9,255,255,255,3
0,0,255,255,255,255,255,255,255,255,255,255
0,0,14,98,52,255,11,255,0,255,255,255
0,0,0,0,0,0,0,7,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
213,255,0,0,0,0,0,0,0,0,0,0
255,255,109,194,59,0,150,0,255,0,0,0
255,255,255,255,255,108,255,0,255,107,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,0,255,0,255,0,255,0,255,255,255
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0
