CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,24,255,37,0,51,0,255,0,8,0
255,255,255,255,255,255,255,15,255,255,255,7
0,0,255,255,255,255,255,255,255,255,255,255
0,0,9,65,37,255,9,255,0,255,255,255
0,0,0,0,0,0,0,8,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
240,255,0,0,0,0,0,0,0,0,0,0
255,255,91,208,60,0,160,0,255,0,1,0
255,255,255,255,255,134,255,0,255,163,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,0,255,0,255,0,255,0,255,255,255
0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
