CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,3,223,6,0,6,0,255,0,1,0
255,255,255,255,255,221,255,0,255,255,255,0
3,0,255,255,255,255,255,255,255,255,255,255
0,0,67,255,255,255,47,255,1,255,255,255
0,0,0,0,0,0,0,63,0,0,0,8
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
138,255,0,0,0,0,0,0,0,0,0,0
255,255,38,74,19,0,55,0,255,0,0,0
255,255,255,255,255,61,255,0,255,39,255,0
2,0,255,255,255,255,255,255,255,255,255,255
0,0,23,255,6,255,3,255,2,255,255,255
0,0,0,0,0,2,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
