CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,6,222,10,0,11,0,255,0,1,0
255,255,255,255,255,151,255,0,255,255,255,0
5,0,255,255,255,255,255,255,255,255,255,255
0,0,84,255,255,255,68,255,0,255,255,255
0,0,0,0,0,0,0,81,0,0,0,10
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
116,255,0,0,0,0,0,0,0,0,0,0
255,255,32,63,14,0,47,0,255,0,0,0
255,255,255,255,255,55,255,0,255,41,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,26,255,8,255,0,255,0,255,255,255
0,0,0,0,0,1,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
