CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,6,226,13,0,7,0,255,0,0,0
255,255,255,255,255,244,255,2,255,255,255,0
2,0,255,255,255,255,255,255,255,255,255,255
0,0,84,255,255,255,37,255,0,255,255,255
0,0,0,0,0,0,0,45,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
124,255,0,0,0,0,0,0,0,0,0,0
255,255,32,91,13,0,56,0,255,0,0,0
255,255,255,255,255,70,255,0,255,57,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,18,255,4,255,0,255,0,255,255,255
0,0,0,0,0,2,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
