CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,10,235,11,0,8,0,255,0,0,0
255,255,255,255,255,176,255,1,255,255,255,1
2,0,255,255,255,255,255,255,255,255,255,255
0,0,82,255,255,255,60,255,0,255,255,255
0,0,0,0,0,2,0,62,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
114,255,0,0,0,0,0,0,0,0,0,0
255,255,58,114,20,0,79,0,255,0,0,0
255,255,255,255,255,56,255,0,255,38,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,21,255,3,255,0,255,0,255,255,255
0,0,0,0,0,4,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0
