CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,2,245,6,0,15,0,255,0,1,0
255,255,255,255,255,197,255,3,255,255,255,2
15,0,255,255,255,255,255,255,255,255,255,255
0,0,78,255,255,255,53,255,0,255,255,255
0,0,0,0,0,0,0,69,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
120,255,0,0,0,0,0,0,0,0,0,0
255,255,36,91,27,0,67,0,255,0,0,0
255,255,255,255,255,46,255,0,255,39,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,31,255,6,255,2,255,0,255,255,255
0,0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0
