CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,6,255,16,0,6,0,255,0,0,0
255,255,255,255,255,186,255,0,255,255,255,0
10,0,255,255,255,255,255,255,255,255,255,255
0,0,97,255,255,255,55,255,0,255,255,255
0,0,0,0,0,0,0,67,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
136,255,0,0,0,0,0,0,0,0,0,0
255,255,33,79,11,0,54,0,255,0,0,0
255,255,255,255,255,55,255,0,255,56,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,21,255,1,255,0,255,0,255,255,255
0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
