CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,7,235,12,0,12,0,255,0,0,0
255,255,255,255,255,167,255,1,255,255,255,0
8,0,255,255,255,255,255,255,255,255,255,255
0,0,115,255,255,255,68,255,0,255,255,255
0,0,0,0,0,0,0,67,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
93,255,0,0,0,0,0,0,0,0,0,0
255,255,24,59,9,0,48,0,255,0,0,0
255,255,255,255,255,48,255,0,255,45,255,0
1,0,255,255,255,255,255,255,255,255,255,255
0,0,21,255,2,255,0,255,0,255,255,255
0,0,0,0,0,4,0,2,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
