CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,4,249,13,0,11,0,255,0,0,0
255,255,255,255,255,169,255,1,255,255,255,0
7,0,255,255,255,255,255,255,255,255,255,255
0,0,96,255,255,255,78,255,1,255,255,255
0,0,0,0,0,0,0,60,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
132,255,0,0,0,0,0,0,0,0,0,0
255,255,24,47,5,0,40,0,255,0,0,0
255,255,255,255,255,54,255,0,255,39,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,29,255,5,255,3,255,0,255,255,255
0,0,0,0,0,4,0,4,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
