CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,7,255,11,0,8,0,255,0,0,0
255,255,255,255,255,220,255,2,255,255,255,0
8,0,255,255,255,255,255,255,255,255,255,255
0,0,80,255,255,255,43,255,0,255,255,255
0,0,0,0,0,0,0,56,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
116,255,0,0,0,0,0,0,0,0,0,0
255,255,26,56,6,0,51,0,255,0,0,0
255,255,255,255,255,40,255,0,255,34,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,22,255,1,255,0,255,0,255,255,255
0,0,0,0,0,3,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0
