CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,10,251,12,0,11,0,255,0,1,0
255,255,255,255,255,252,255,0,255,255,255,0
2,0,255,255,255,255,255,255,255,255,255,255
0,0,97,255,255,255,62,255,0,255,255,255
0,0,0,0,0,2,0,76,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
126,255,0,0,0,0,0,0,0,0,0,0
255,255,37,96,8,0,32,0,255,0,0,0
255,255,255,255,255,41,255,0,255,33,255,0
1,0,255,255,255,255,255,255,255,255,255,255
0,0,19,255,5,255,1,255,1,255,255,255
0,0,0,0,0,5,0,7,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
