CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,6,221,7,0,9,0,255,0,2,0
255,255,255,255,255,132,255,2,255,255,255,0
7,0,255,255,255,255,255,255,255,255,255,255
0,0,112,255,255,255,74,255,0,255,255,255
0,0,0,0,0,0,0,86,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
134,255,0,0,0,0,0,0,0,0,0,0
255,255,32,82,11,0,57,0,255,0,0,0
255,255,255,255,255,34,255,0,255,29,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,23,255,4,255,2,255,0,255,255,255
0,0,0,0,0,5,0,5,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
