CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,7,255,13,0,10,0,255,0,0,0
255,255,255,255,255,217,255,2,255,255,255,0
3,0,255,255,255,255,255,255,255,255,255,255
0,0,96,255,255,255,51,255,0,255,255,255
0,0,0,0,0,1,0,62,0,0,0,12
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
115,255,0,0,0,0,0,0,0,0,0,0
255,255,54,105,30,0,73,0,255,0,0,0
255,255,255,255,255,47,255,0,255,40,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,7,255,1,255,0,255,0,255,255,255
0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
