CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
71,255,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,14,0,0,0
255,255,255,255,255,2,255,0,255,6,255,0
255,107,255,255,255,255,255,255,255,255,255,255
0,0,255,255,255,255,255,255,66,255,255,255
0,0,0,2,0,255,0,255,0,141,23,255
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
66,255,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,3,0,0,0
255,255,255,255,255,20,255,0,255,29,255,0
255,225,255,255,255,255,255,94,255,255,255,41
0,0,255,255,255,255,255,255,3,255,255,255
