CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12
956560,926367,209,1207888,0,68427,0,0,0,1083048,0,0,6976
868914,987053,362,1178869,0,93278,0,0,0,1149003,0,0,10702
793929,1037457,658,1187408,0,126013,0,2,0,1209794,0,0,16153
687587,1089129,1718,1184464,0,187840,0,4,0,1255908,0,0,27376
596796,1127607,3211,1189607,0,259958,0,9,0,1283805,0,2,39946
502089,1164288,6762,1198616,0,351343,0,31,0,1312913,0,4,57710
416255,1198109,13190,1198854,0,450822,0,79,0,1336922,0,0,84952
356885,1221439,20888,1197274,0,527490,0,170,0,1343796,1,9,112975
325301,1263911,27195,1240495,2,619008,0,206,0,1394414,3,13,143981
274575,1285664,39563,1199876,5,684643,0,415,0,1394194,7,27,181519
225073,1316489,59836,1156901,11,773802,0,764,0,1375685,26,71,244370
185731,1348314,100183,1100206,19,871247,0,1471,0,1329248,35,118,342782
163428,1374194,145479,1045331,46,955551,0,2605,0,1284118,71,238,430185
145351,1403371,203207,983771,120,1028535,0,3933,0,1237232,136,447,521977
130266,1435507,289338,902670,278,1092005,0,6968,0,1190491,316,945,634765
119525,1456613,366246,818851,492,1134949,0,10262,0,1135683,564,1639,733727
105767,1490313,438194,643179,877,1144264,0,13010,0,1123430,759,3043,897597
95854,1508136,515839,551205,1589,1183194,0,19613,0,1069543,1254,4700,983049
86742,1520412,599749,464080,3090,1220867,0,29602,0,991295,1973,7482,1074758
79868,1525253,694514,399798,6137,1252313,0,42170,0,903518,3162,11423,1153563
74266,1525993,777595,344055,10868,1284821,0,58955,0,810270,4587,15963,1203099
66830,1521447,866919,281507,18929,1319243,0,83895,0,704459,7334,25182,1253182
58902,1512610,936276,228473,32649,1352833,0,122278,0,611857,10927,39576,1296912
51947,1497605,982857,188084,46320,1378851,0,164218,0,535533,14918,55045,1327894
46388,1499340,984387,150418,67134,1417229,0,235450,0,435711,19517,71708,1364574
38705,1482808,998867,121192,89525,1440928,0,291000,0,385201,24732,95239,1395415
29347,1451832,1011751,95089,131162,1471610,2,376766,0,321525,32276,133163,1432446
21940,1400512,1060537,76277,193371,1498383,2,472546,0,255468,44801,186230,1465920
17300,1352409,1101585,65851,263713,1521451,7,563524,0,206767,59220,242029,1485047
12195,1284221,1154925,54145,348846,1543175,43,665870,0,155780,86788,335117,1506970
8459,1208217,1199038,46361,430764,1555185,86,759638,0,122350,118602,434944,1520146
6034,1126289,1230817,39902,500764,1561309,236,839493,2,93645,159156,536281,1523754
2978,1023467,1240643,27702,647409,1544636,353,898073,1,79292,228612,685913,1515555
1736,960329,1249716,22468,702837,1541980,666,958586,5,64831,268696,758785,1505738
851,876625,1264548,17729,782759,1534236,1195,1029702,11,44871,333667,860605,1480297
437,777340,1289866,13742,858863,1516404,2496,1088101,17,28106,421856,959419,1430191
268,700788,1295634,11678,931767,1498463,4644,1143164,28,18071,504962,1031980,1370169
123,613781,1281300,8993,987214,1469396,9716,1187321,58,11072,611517,1109417,1292780
55,543407,1262467,6535,1033321,1432984,16987,1232401,209,6283,724255,1178693,1203730
22,476109,1219709,4803,1061807,1397569,28464,1271182,379,3736,815210,1224257,1117917
3,434336,1231828,3178,1052545,1352099,30726,1315789,641,1934,889022,1268452,1110713
3,399317,1206058,1817,1060592,1309792,42796,1349211,1082,1247,948439,1299966,1037942
3,338822,1168133,880,1089437,1241726,70588,1389652,2269,557,1027388,1336369,943064
1,284716,1140882,462,1123591,1166585,110579,1419583,4536,257,1097383,1360136,855708
0,249208,1090916,306,1170277,1090350,162666,1443370,8168,125,1144976,1367906,786874
0,206628,1024028,180,1212024,990240,233945,1457000,13703,53,1189421,1372757,721343
0,167927,978536,75,1252610,881344,319565,1470585,23464,19,1233628,1368175,656325
0,130350,918550,27,1277822,780802,416729,1478866,39225,3,1263032,1340351,599727
0,109772,969147,19,1295080,697554,487390,1452012,77276,10,1286706,1371548,528312
0,87317,954494,5,1316907,633920,557421,1451868,103301,4,1306393,1341079,489669
0,66576,918574,1,1345709,564679,653842,1445366,144591,0,1329256,1279982,447278
0,46759,862505,0,1375404,481587,764387,1427297,203551,0,1347989,1189671,396006
0,32962,783989,0,1400468,417032,856758,1416293,275787,0,1361074,1098362,348263
0,21108,682926,0,1411081,352039,950552,1389692,356214,0,1371454,995260,302413
0,13915,595959,0,1408129,295946,1024733,1363353,450617,0,1378745,889826,258900
0,8468,503991,0,1389855,253503,1083333,1332257,543620,0,1366126,794315,217672
0,4229,471114,0,1345978,203326,1068645,1315256,662058,0,1295278,786213,182115
0,2252,417119,0,1336371,170066,1120226,1279689,738877,0,1255197,706714,150515
0,1469,363522,0,1337884,139551,1168976,1217520,827527,0,1205950,632591,124123
0,566,296977,0,1314402,103826,1221044,1125505,925571,0,1125389,553366,92040
0,337,248084,0,1294700,84846,1255981,1069277,996551,0,1062111,506946,73160
0,205,203826,0,1266404,64288,1292996,979029,1052312,0,979871,465867,55607
0,79,165932,0,1220057,45273,1331562,864395,1115067,0,891849,420790,38665
0,37,135479,0,1168631,34026,1362075,774601,1158565,0,802386,383506,27122
0,19,136999,0,1171574,28178,1374283,686597,1187314,0,705371,387871,26136
0,7,123982,0,1171067,20848,1399055,613698,1219450,0,650200,355056,19206
0,5,102151,0,1175225,13526,1432170,524410,1258001,0,593195,307569,12960
0,2,81796,0,1156034,9819,1455969,456103,1285484,0,551693,268949,8440
0,3,60431,0,1133053,7022,1475836,408676,1312622,0,515386,229936,5266
0,0,39742,0,1109861,4532,1497662,345031,1343453,0,470533,184761,3007
0,0,25195,0,1074862,2660,1503441,290282,1375793,0,432889,142610,1509
0,0,15953,0,1027756,1718,1502939,249301,1402032,0,393684,111326,884
0,0,13580,0,899393,1085,1466901,199967,1442457,0,344957,87223,351
0,0,9008,0,859295,594,1444019,165303,1467424,0,314487,63837,210
0,0,4930,0,793474,270,1406996,131877,1495413,0,281094,40460,105
0,0,2703,0,690871,123,1358333,107812,1511945,0,249485,26084,41
0,0,1338,0,588592,72,1292695,90655,1526516,0,217784,16082,13
0,0,517,0,489038,39,1213975,72950,1525992,0,183269,9378,5
0,0,206,0,385464,9,1117665,57041,1518954,0,150485,4684,3
0,0,88,0,303223,7,1022158,45217,1499631,0,122850,2522,1
0,0,55,0,284026,3,908496,29480,1444077,0,92110,1973,0
0,0,17,0,236545,0,830735,21305,1406486,0,76412,1119,0
0,0,10,0,190354,0,734744,13967,1355322,0,58889,483,0
0,0,2,0,129583,0,614014,9021,1245212,0,41180,168,0
0,0,0,0,97440,0,523036,6444,1158496,0,29746,77,0
0,0,1,0,72683,0,443762,4231,1059661,0,19973,27,0
0,0,0,0,49556,0,362731,2418,949967,0,12931,10,0
0,0,0,0,32898,0,301020,1393,853061,0,7586,1,0
