CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12
0,0,2,0,138800,0,615685,8959,1249401,0,39462,176,0
0,0,0,0,102152,0,523144,4898,1165592,0,27543,90,0
0,0,0,0,69665,0,436768,3031,1047477,0,18526,22,0
0,0,0,0,50428,0,363130,1973,954952,0,11963,19,0
0,0,0,0,36144,0,302464,1270,854832,0,7744,4,0
0,0,0,0,21453,0,240441,625,751668,0,4131,0,0
0,0,0,0,13131,0,196063,305,665432,0,2134,0,0
0,0,0,0,7122,0,167455,139,644834,0,1207,1,0
0,0,0,0,4796,0,138366,55,592974,0,726,0,0
0,0,0,0,2712,0,104719,24,533215,0,347,0,0
0,0,0,0,1214,0,76085,8,464430,0,156,0,0
0,0,0,0,694,0,60086,4,421166,0,66,0,0
0,0,0,0,331,0,44383,3,370926,0,33,0,0
0,0,0,0,114,0,31399,0,325896,0,8,0,0
0,0,0,0,48,0,21964,0,275951,0,5,0,0
0,0,0,0,56,0,12837,0,236891,0,1,0,0
0,0,0,0,25,0,8327,0,199769,0,3,0,0
0,0,0,0,13,0,4713,0,158112,0,1,0,0
0,0,0,0,5,0,2742,0,115749,0,1,0,0
0,0,0,0,0,0,1641,0,85618,0,0,0,0
0,0,0,0,0,0,873,0,58717,0,0,0,0
0,0,0,0,0,0,425,0,39986,0,0,0,0
0,0,0,0,1,0,242,0,26797,0,0,0,0
0,0,0,0,0,0,89,0,12741,0,0,0,0
0,0,0,0,0,0,41,0,7821,0,0,0,0
0,0,0,0,0,0,17,0,4384,0,0,0,0
0,0,0,0,0,0,8,0,1978,0,0,0,0
0,0,0,0,0,0,3,0,1168,0,0,0,0
0,0,0,0,0,0,0,0,657,0,0,0,0
0,0,0,0,0,0,2,0,282,0,0,0,0
0,0,0,0,0,0,0,0,128,0,0,0,0
0,0,0,0,0,0,0,0,70,0,0,0,0
0,0,0,0,0,0,0,0,50,0,0,0,0
0,0,0,0,0,0,0,0,13,0,0,0,0
0,0,0,0,0,0,0,0,7,0,0,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
