CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12
762312,1056979,1016,1193514,0,155056,0,3,0,1237363,0,0,18908
690699,1095966,1454,1172484,0,191322,0,5,0,1291076,0,0,25453
598989,1132996,2758,1176769,0,248195,0,7,0,1339637,0,0,37725
505832,1164980,5525,1175311,0,329073,0,33,0,1361633,0,1,58910
423143,1194831,10734,1179788,0,433934,0,68,0,1366313,0,1,86702
352654,1227429,21021,1184522,1,545117,0,179,0,1363984,0,6,120267
285274,1260180,36008,1170050,3,650649,0,328,0,1357294,2,22,168961
232020,1288554,57213,1142036,6,745980,0,659,0,1336059,7,70,232750
221542,1322393,67296,1149625,8,812654,0,805,0,1356667,24,75,273725
187788,1350561,96432,1089352,17,880374,0,1387,0,1340262,41,142,339222
160303,1383943,138898,1023162,50,954099,0,2537,0,1302190,81,295,432700
139422,1415465,207371,947545,137,1021674,0,4252,0,1244659,169,568,558204
126944,1439532,277034,878158,260,1085232,0,6775,0,1187149,315,1005,662324
115607,1464021,363013,792506,531,1137613,0,10018,0,1122871,514,1734,763772
105511,1488841,471514,694023,1284,1184237,0,16439,0,1054003,1267,3521,886771
97872,1499070,565153,609366,2108,1216613,0,24056,0,982679,2057,5618,965844
87028,1521942,632376,447885,3446,1226953,0,30347,0,944225,2637,9491,1101353
79316,1528425,694701,373110,5779,1256462,0,43506,0,877428,3747,13266,1158606
70209,1530016,764221,309298,9886,1283760,0,60301,0,801993,5358,19842,1214778
63689,1525466,845224,259471,17301,1314385,0,84349,0,700902,7658,28480,1267021
56955,1516404,912587,214788,31405,1349419,0,122411,0,603826,10892,40852,1308525
49445,1497923,966345,175919,50621,1380531,0,168267,0,516410,15751,60469,1340825
42024,1480438,1010917,145354,71676,1410180,0,218283,0,446607,21144,85202,1370346
34821,1446942,1040975,119401,103875,1437468,0,285335,0,377014,28826,121188,1399048
29387,1433299,1033974,94242,140288,1475051,3,388229,0,292907,37499,156791,1434161
22205,1402541,1042738,75427,181414,1496762,5,462613,0,254733,46171,199277,1461291
15422,1352836,1060632,60412,246893,1519683,6,559116,0,205748,61560,268562,1490887
10438,1273567,1119903,49073,331114,1532446,24,660133,0,154240,85188,356253,1508983
7614,1206232,1175780,43099,425361,1553404,102,759566,0,117670,114446,443032,1525630
4872,1117997,1226962,36328,517305,1561767,220,840906,2,82739,161458,553451,1530054
2809,1017192,1274778,30202,616983,1561735,480,933220,0,57599,225015,687315,1523041
1760,926767,1298336,25866,693605,1555848,1141,1002968,2,39199,291087,791270,1501722
856,839724,1288565,18062,806369,1526769,1635,1039056,13,35593,373999,914715,1466199
427,768540,1285458,13672,855463,1512940,2670,1092799,24,27035,436939,986452,1431184
150,678165,1270187,9361,921068,1492070,5131,1152171,45,17191,530000,1074372,1370300
95,601624,1271896,7194,973635,1464777,8979,1194974,102,10260,616755,1136500,1294865
50,532542,1255882,5500,1027554,1435894,16826,1240629,241,5955,712597,1189035,1210709
19,473347,1212622,3902,1067043,1394910,29429,1276341,501,3424,818313,1238901,1118320
7,416926,1172176,2671,1099246,1346962,46596,1310329,1030,1963,914700,1279189,1025531
3,361599,1107171,1677,1117954,1295916,71855,1344982,1964,945,994362,1309303,937575
0,324654,1142131,988,1103200,1220065,81545,1389497,3220,453,1056794,1352849,922799
1,289605,1117921,512,1112494,1169219,107275,1415189,5038,296,1098004,1369131,860779
0,242939,1082863,203,1145212,1093671,157221,1443089,8985,107,1157335,1386093,786322
