CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,1,222,7,0,4,0,255,0,0,0
255,255,255,255,255,194,255,2,255,255,255,1
6,0,255,255,255,255,255,255,255,255,255,255
0,0,107,255,255,255,64,255,0,255,255,255
0,0,0,0,0,0,0,60,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
120,255,0,0,0,0,0,0,0,0,0,0
255,255,27,79,13,0,65,0,255,0,0,0
255,255,255,255,255,45,255,0,255,41,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,16,255,4,255,3,255,0,255,255,255
0,0,0,0,0,2,0,4,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0
