CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,4,211,5,0,8,0,255,0,0,0
255,255,255,255,255,158,255,3,255,255,255,1
12,0,255,255,255,255,255,255,255,255,255,255
0,0,118,255,255,255,80,255,0,255,255,255
0,0,0,0,0,1,0,104,0,0,0,9
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
102,255,0,0,0,0,0,0,0,0,0,0
255,255,38,77,18,0,69,0,255,0,0,0
255,255,255,255,255,45,255,0,255,43,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,28,255,4,255,5,255,1,255,255,255
0,0,0,0,0,2,0,4,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
