CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,7,255,10,0,9,0,255,0,0,0
255,255,255,255,255,215,255,2,255,255,255,1
10,0,255,255,255,255,255,255,255,255,255,255
0,0,115,255,255,255,67,255,0,255,255,255
0,0,0,0,0,0,0,65,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
101,255,0,0,0,0,0,0,0,0,0,0
255,255,20,62,10,0,46,0,255,0,0,0
255,255,255,255,255,55,255,0,255,41,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,20,255,2,255,1,255,2,255,255,255
0,0,0,0,0,3,0,6,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
