CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,0,206,7,0,8,0,255,0,0,0
255,255,255,255,255,175,255,2,255,255,255,1
8,0,255,255,255,255,255,255,255,255,255,255
0,0,101,255,255,255,59,255,0,255,255,255
0,0,0,0,0,0,0,82,0,0,0,9
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
134,255,0,0,0,0,0,0,0,0,0,0
255,255,40,87,16,0,71,0,255,0,0,0
255,255,255,255,255,35,255,0,255,26,255,0
1,0,255,255,255,255,255,255,255,255,255,255
0,0,15,255,3,255,0,255,0,255,255,255
0,0,0,0,0,3,0,4,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
