CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,3,243,10,0,10,0,255,0,0,0
255,255,255,255,255,184,255,2,255,255,255,0
9,0,255,255,255,255,255,255,255,255,255,255
0,0,138,255,255,255,53,255,0,255,255,255
0,0,0,0,0,0,0,84,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
91,255,0,0,0,0,0,0,0,0,0,0
255,255,20,59,5,0,39,0,255,0,0,0
255,255,255,255,255,39,255,0,255,22,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,33,255,5,255,2,255,0,255,255,255
0,0,0,0,0,2,0,6,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
