CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,13,253,21,0,13,0,255,0,0,0
255,255,255,255,255,197,255,4,255,255,255,0
10,0,255,255,255,255,255,255,255,255,255,255
0,0,131,255,255,255,68,255,0,255,255,255
0,0,0,0,0,0,0,83,0,0,0,10
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
124,255,0,0,0,0,0,0,0,0,0,0
255,255,24,70,12,0,47,0,255,0,0,0
255,255,255,255,255,31,255,0,255,19,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,33,255,6,255,2,255,0,255,255,255
0,0,0,0,0,4,0,5,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
