CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,5,207,5,0,5,0,255,0,1,0
255,255,255,255,255,156,255,2,255,255,255,0
7,0,255,255,255,255,255,255,255,255,255,255
0,0,132,255,255,255,85,255,0,255,255,255
0,0,0,0,0,1,0,105,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
95,255,0,0,0,0,0,0,0,0,0,0
255,255,31,78,10,0,49,0,255,0,0,0
255,255,255,255,255,44,255,0,255,37,255,0
2,0,255,255,255,255,255,255,255,255,255,255
0,0,26,255,4,255,2,255,0,255,255,255
0,0,0,0,0,8,0,5,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
