CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,8,221,9,0,12,0,255,0,0,0
255,255,255,255,255,177,255,0,255,255,255,0
8,0,255,255,255,255,255,255,255,255,255,255
0,0,119,255,255,255,93,255,0,255,255,255
0,0,0,0,0,0,0,85,0,0,0,12
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
87,255,0,0,0,0,0,0,0,0,0,0
255,255,26,75,16,0,49,0,255,0,0,0
255,255,255,255,255,36,255,0,255,20,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,33,255,6,255,1,255,0,255,255,255
0,0,0,0,0,5,0,4,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
