CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,3,213,7,0,4,0,255,0,0,0
255,255,255,255,255,215,255,1,255,255,255,0
6,0,255,255,255,255,255,255,255,255,255,255
0,0,111,255,255,255,55,255,0,255,255,255
0,0,0,0,0,0,0,70,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
107,255,0,0,0,0,0,0,0,0,0,0
255,255,28,64,10,0,58,0,255,0,0,0
255,255,255,255,255,44,255,0,255,36,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,16,255,2,255,2,255,0,255,255,255
0,0,0,0,0,2,0,6,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
