CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,2,239,4,0,10,0,255,0,0,0
255,255,255,255,255,210,255,1,255,255,255,0
3,0,255,255,255,255,255,255,255,255,255,255
0,0,108,255,255,255,56,255,0,255,255,255
0,0,0,0,0,0,0,71,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
125,255,0,0,0,0,0,0,0,0,0,0
255,255,31,78,15,0,72,0,255,0,0,0
255,255,255,255,255,61,255,0,255,31,255,0
1,0,255,255,255,255,255,255,255,255,255,255
0,0,26,255,9,255,6,255,1,255,255,255
0,0,0,0,0,4,0,5,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
