CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12
771311,1050951,902,1190661,0,139776,0,3,0,1224462,0,0,18308
691225,1093822,1537,1172207,0,183757,0,6,0,1293354,0,0,25752
595150,1131767,2930,1173841,0,243895,0,13,0,1341516,0,0,39727
488015,1169174,6017,1170951,0,329357,0,36,0,1361375,0,1,63467
413208,1196135,11405,1176584,0,430273,0,63,0,1362928,0,5,89233
347076,1225462,20752,1176654,2,528369,0,148,0,1358081,0,9,120766
284725,1261153,38283,1166620,2,638835,0,324,0,1354413,5,20,175201
235987,1287481,58028,1144596,6,730889,0,655,0,1335453,13,61,230943
216179,1325180,73407,1141967,6,812461,0,824,0,1353899,19,85,280509
184143,1352722,98871,1078346,17,873643,0,1403,0,1336361,58,152,349285
159552,1382157,130970,1025464,48,939062,0,2402,0,1308562,105,296,424384
137648,1417362,210283,939556,122,1019328,0,4344,0,1246457,202,554,560894
127301,1438253,271660,884422,267,1075147,0,6436,0,1199376,322,923,646047
117489,1460982,357643,805531,563,1127811,0,9670,0,1138541,619,1717,743955
105946,1487585,478793,689345,1335,1187572,0,16887,0,1055098,1333,3414,884515
97927,1499498,574022,600087,2408,1219557,0,24312,0,983428,2339,5720,973748
86400,1521950,647425,434711,4087,1233766,0,31771,0,943738,2963,9809,1106934
78864,1525791,699985,371839,6316,1257815,0,44234,0,891379,4069,13242,1157536
70196,1526947,775725,300058,11335,1292082,0,65364,0,795567,6021,20368,1223882
63348,1521965,856742,250271,19544,1321835,0,90386,0,693145,8612,29627,1274796
57577,1512718,912857,216893,32323,1351835,0,123208,0,608937,11952,40138,1307228
51263,1497683,972296,178345,53190,1385530,0,168238,0,519808,16800,60314,1340406
41673,1473967,1017999,141200,83341,1419050,0,233600,0,437475,23984,91258,1378644
35258,1441880,1048335,117375,112420,1444426,1,296351,0,375686,31418,125837,1405548
29449,1432604,1041163,93932,148070,1477412,1,389134,0,294977,39499,156058,1437344
22244,1396763,1050512,74050,195235,1501406,2,475064,0,249993,50951,205368,1466849
16170,1344762,1067706,61121,257121,1520938,7,565346,0,207033,66484,271466,1492766
