CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,16,255,25,0,28,0,255,0,2,0
255,255,255,255,255,193,255,2,255,255,255,0
5,0,255,255,255,255,255,255,255,255,255,255
0,0,118,255,255,255,66,255,0,255,255,255
0,0,0,0,0,0,0,94,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
114,255,0,0,0,0,0,0,0,0,0,0
255,255,35,87,11,0,33,0,255,0,0,0
255,255,255,255,255,49,255,0,255,34,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,24,255,3,255,2,255,0,255,255,255
0,0,0,0,0,7,0,7,0,2,0,4
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
