CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,4,223,8,0,10,0,255,0,0,0
255,255,255,255,255,190,255,4,255,255,255,0
12,0,255,255,255,255,255,255,255,255,255,255
0,0,98,255,255,255,58,255,0,255,255,255
0,0,0,0,0,0,0,76,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
113,255,0,0,0,0,0,0,0,0,0,0
255,255,26,78,11,0,75,0,255,0,0,0
255,255,255,255,255,52,255,0,255,41,255,0
2,0,255,255,255,255,255,255,255,255,255,255
0,0,24,255,7,255,2,255,0,255,255,255
0,0,0,0,0,1,0,3,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
