CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,4,216,6,0,9,0,255,0,0,0
255,255,255,255,255,174,255,3,255,255,255,0
8,0,255,255,255,255,255,255,255,255,255,255
0,0,99,255,255,255,70,255,0,255,255,255
0,0,0,0,0,0,0,84,0,0,0,11
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
102,255,0,0,0,0,0,0,0,0,0,0
255,255,24,67,8,0,46,0,255,0,0,0
255,255,255,255,255,43,255,0,255,41,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,33,255,4,255,0,255,0,255,255,255
0,0,0,0,0,1,0,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
