CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,5,195,12,0,7,0,255,0,0,0
255,255,255,255,255,177,255,0,255,255,255,1
6,0,255,255,255,255,255,255,255,255,255,255
0,0,93,255,255,255,86,255,0,255,255,255
0,0,0,0,0,1,0,124,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
113,255,0,0,0,0,0,0,0,0,0,0
255,255,8,41,2,0,34,0,255,0,0,0
255,255,255,255,255,52,255,0,255,35,255,0
1,0,255,255,255,255,255,255,255,255,255,255
0,0,29,255,4,255,0,255,0,255,255,255
0,0,0,0,0,6,0,5,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
