CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,1,240,7,0,14,0,255,0,0,0
255,255,255,255,255,212,255,1,255,255,255,0
3,0,255,255,255,255,255,255,255,255,255,255
0,0,80,255,255,255,55,255,0,255,255,255
0,0,0,0,0,0,0,74,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
139,255,0,0,0,0,0,0,0,0,0,0
255,255,40,92,15,0,46,0,255,0,0,0
255,255,255,255,255,51,255,0,255,46,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,20,255,3,255,1,255,0,255,255,255
0,0,0,0,0,3,0,2,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
