CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,5,191,3,0,4,0,255,0,0,0
255,255,255,255,255,192,255,3,255,255,255,1
11,0,255,255,255,255,255,255,255,255,255,255
0,0,94,255,255,255,69,255,0,255,255,255
0,0,0,0,0,2,0,91,0,0,0,8
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
102,255,0,0,0,0,0,0,0,0,0,0
255,255,25,77,6,0,52,0,255,0,0,0
255,255,255,255,255,55,255,0,255,39,255,0
1,0,255,255,255,255,255,255,255,255,255,255
0,0,37,255,7,255,3,255,0,255,255,255
0,0,0,0,0,2,0,5,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
