CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,26,255,44,0,37,0,255,0,4,0
255,255,255,255,255,255,255,17,255,255,255,7
1,0,255,255,255,255,255,255,255,255,255,255
0,0,9,86,50,255,6,255,0,255,255,255
0,0,0,0,0,0,0,10,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,0,0,0,0
255,255,94,191,48,0,163,0,255,0,1,0
255,255,255,255,255,119,255,0,255,110,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,2,255,1,255,1,255,0,255,255,255
0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0
