CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,13,255,25,0,11,0,255,0,1,0
255,255,255,255,255,255,255,7,255,255,255,4
2,0,255,255,255,255,255,255,255,255,255,255
0,0,46,255,255,255,27,255,0,255,255,255
0,0,0,0,0,1,0,39,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
186,255,0,0,0,0,0,0,0,0,0,0
255,255,57,138,19,0,112,0,255,0,0,0
255,255,255,255,255,60,255,0,255,40,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,7,255,1,255,2,255,0,255,255,255
0,0,0,0,0,3,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,0,0,0,0,0,0,0,0,0
