CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,16,255,27,0,22,0,255,0,0,0
255,255,255,255,255,255,255,5,255,255,255,0
2,0,255,255,255,255,255,255,255,255,255,255
0,0,38,255,213,255,27,255,0,255,255,255
0,0,0,0,0,0,0,31,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
106,255,0,0,0,0,0,0,0,0,0,0
255,255,66,134,30,0,111,0,255,0,0,0
255,255,255,255,255,85,255,0,255,59,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,5,255,1,255,0,255,0,255,255,255
0,0,0,0,0,0,0,1,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
